fiscal_year,state_name,program_area,total_investment_dollars,number_investments,svi_investments
2012,Texas,Community Facilities,15457757,30,14320207
2012,Texas,Electric Programs,273273668,6,0
2012,Texas,Multifamily Housing,44615481,709,29340095
2012,Texas,Single Family Housing,1022493099,8199,182498846
2012,Texas,Telecommunications Programs,2912504,3,0
2012,Texas,Water and Environmental,38052033,41,18883202
2012,Utah,Business Programs,11939372,27,1345298
2012,Utah,Community Facilities,37612906,20,2204700
2012,Utah,Multifamily Housing,8681936,74,2595727
2012,Utah,Single Family Housing,444246649,2748,21986939
2012,Utah,Telecommunications Programs,280657,2,0
2012,Utah,Water and Environmental,5746101,7,969101
2012,Vermont,Business Programs,3707360,55,264429
2012,Vermont,Community Facilities,5011300,20,10300
2012,Vermont,Multifamily Housing,9404045,55,341532
2012,Vermont,Single Family Housing,109428792,734,2601866
2012,Vermont,Water and Environmental,5324192,12,0
2012,Virginia,Business Programs,13075681,59,544615
2012,Virginia,Community Facilities,35837220,72,2102345
2012,Virginia,Electric Programs,510853000,5,0
2012,Virginia,Multifamily Housing,26503438,224,8348866
2012,Virginia,Single Family Housing,480418830,3347,39038834
2012,Virginia,Telecommunications Programs,1727457,3,0
2012,Virginia,Water and Environmental,34288753,23,8862855
2012,Washington,Business Programs,21683976,85,5472037
2012,Washington,Community Facilities,6965606,19,1129785
2012,Washington,Electric Programs,136942450,3,0
2012,Washington,Multifamily Housing,34229536,367,19053841
2012,Washington,Single Family Housing,677228012,3754,75313867
2012,Washington,Telecommunications Programs,312106,1,0
2012,Washington,Water and Environmental,8238393,12,4998525
2012,West Virginia,Business Programs,5021883,11,150000
2012,West Virginia,Community Facilities,62154612,36,366476
2012,West Virginia,Multifamily Housing,12226597,160,2277590
2012,West Virginia,Single Family Housing,231870098,1993,17752731
2012,West Virginia,Telecommunications Programs,298339,1,0
2012,West Virginia,Water and Environmental,51773544,38,20460957
2012,Wisconsin,Business Programs,37609198,172,3059210
2012,Wisconsin,Community Facilities,38046684,23,474000
2012,Wisconsin,Electric Programs,212166000,3,0
2012,Wisconsin,Multifamily Housing,18034589,397,3761875
2012,Wisconsin,Single Family Housing,427185072,3639,10870176
2012,Wisconsin,Telecommunications Programs,446735,1,0
2012,Wisconsin,Water and Environmental,28760069,32,4453444
2012,Wyoming,Business Programs,5459487,8,0
2012,Wyoming,Community Facilities,3037600,3,0
2012,Wyoming,Electric Programs,4887000,1,0
2012,Wyoming,Multifamily Housing,7947254,55,375336
2012,Wyoming,Single Family Housing,256228279,1460,22611767
2012,Wyoming,Water and Environmental,640792,2,0
2013,Alabama,Business Programs,14928300,24,3895360
2013,Alabama,Community Facilities,7667630,16,4270750
2013,Alabama,Electric Programs,77457188,3,0
2013,Alabama,Multifamily Housing,22153061,277,10859878
2013,Alabama,Single Family Housing,541823919,4560,54285590
2013,Alabama,Water and Environmental,22061274,25,17500
2013,Alaska,Business Programs,12838084,22,9728542
2013,Alaska,Community Facilities,248339,5,144683
2013,Alaska,Electric Programs,193256522,7,0
2013,Alaska,Multifamily Housing,3979330,29,804758
2013,Alaska,Single Family Housing,89161304,471,25022166
2013,Alaska,Telecommunications Programs,2203767,1,0
2013,Alaska,Water and Environmental,26847666,30,20852828
2013,Arizona,Business Programs,23168445,29,11185326
2013,Arizona,Community Facilities,10466311,11,250008
2013,Arizona,Electric Programs,167779000,1,0
2013,Arizona,Multifamily Housing,11066292,86,7054452
2013,Arizona,Single Family Housing,457887355,3328,85867449
2013,Arizona,Water and Environmental,22317385,23,20687053
2013,Arkansas,Business Programs,8326945,40,4447956
2013,Arkansas,Community Facilities,10030200,40,8938990
2013,Arkansas,Electric Programs,32399500,3,0
2013,Arkansas,Multifamily Housing,17286623,219,7983638
2013,Arkansas,Single Family Housing,476427158,4370,56091880
2013,Arkansas,Telecommunications Programs,8222697,1,0
2013,Arkansas,Water and Environmental,15460359,27,3546000
2013,California,Business Programs,40928988,123,25566202
2013,California,Community Facilities,16940191,33,9495855
2013,California,Electric Programs,4959456,1,0
2013,California,Multifamily Housing,94543599,352,68819178
2013,California,Single Family Housing,950467588,5322,360716967
2013,California,Water and Environmental,38400147,31,24552886
2013,Colorado,Business Programs,19814477,33,1675412
2013,Colorado,Community Facilities,20609735,20,56000
2013,Colorado,Electric Programs,31419000,4,0
2013,Colorado,Multifamily Housing,13778796,102,8216436
2013,Colorado,Single Family Housing,328278711,1835,38248749
2013,Colorado,Water and Environmental,6477988,11,0
2013,Connecticut,Business Programs,7020682,14,100000
2013,Connecticut,Community Facilities,8461491,13,0
2013,Connecticut,Multifamily Housing,7975287,46,360276
2013,Connecticut,Single Family Housing,170257260,968,11721246
2013,Connecticut,Water and Environmental,11857430,11,0
2013,Delaware,Business Programs,137000,4,81623
2013,Delaware,Community Facilities,16878940,13,1300000
2013,Delaware,Multifamily Housing,5005236,32,2176992
2013,Delaware,Single Family Housing,161918820,858,19735465
2013,Delaware,Water and Environmental,7143251,8,0
2013,District of Columbia,Business Programs,2161222,4,0
2013,District of Columbia,Water and Environmental,5250013,1,0
2013,Florida,Business Programs,36724025,33,6450271
2013,Florida,Community Facilities,23105673,15,18583173
2013,Florida,Electric Programs,164134000,4,0
2013,Florida,Multifamily Housing,46061352,482,29527906
2013,Florida,Single Family Housing,821540710,6125,130403395
2013,Florida,Water and Environmental,5552030,3,5552030
2013,Georgia,Business Programs,72025677,109,30992264
2013,Georgia,Community Facilities,11055353,31,6776203
2013,Georgia,Electric Programs,525213309,9,0
2013,Georgia,Multifamily Housing,20875495,357,14314698
2013,Georgia,Single Family Housing,567697714,5059,77012656
2013,Georgia,Water and Environmental,11654150,11,7398150
2013,Hawaii,Business Programs,5818440,15,59643
2013,Hawaii,Community Facilities,18119666,6,350000
2013,Hawaii,Multifamily Housing,5418000,18,1521000
2013,Hawaii,Single Family Housing,332168130,1005,24308147
2013,Hawaii,Water and Environmental,22157100,9,6461800
